alarm_id,alarm_level,uav_id,reason,area_id,sim_time
ALM_00352,3,UAV_004,enter_no_fly_area,AREA_002,133.0
ALM_00353,3,UAV_003,enter_no_fly_area,AREA_002,133.5
ALM_00354,3,UAV_004,enter_no_fly_area,AREA_002,133.5
ALM_00355,3,UAV_003,enter_no_fly_area,AREA_002,134.0
ALM_00356,3,UAV_004,enter_no_fly_area,AREA_002,134.0
ALM_00357,3,UAV_005,enter_no_fly_area,AREA_002,134.0
ALM_00358,3,UAV_003,enter_no_fly_area,AREA_002,134.5
ALM_00359,3,UAV_004,enter_no_fly_area,AREA_002,134.5
ALM_00360,3,UAV_005,enter_no_fly_area,AREA_002,134.5
ALM_00361,3,UAV_003,enter_no_fly_area,AREA_002,135.0
ALM_00362,3,UAV_004,enter_no_fly_area,AREA_002,135.0
ALM_00363,3,UAV_005,enter_no_fly_area,AREA_002,135.0
ALM_00364,3,UAV_003,enter_no_fly_area,AREA_002,135.5
ALM_00365,3,UAV_004,enter_no_fly_area,AREA_002,135.5
ALM_00366,3,UAV_005,enter_no_fly_area,AREA_002,135.5
ALM_00367,3,UAV_003,enter_no_fly_area,AREA_002,136.0
ALM_00368,3,UAV_004,enter_no_fly_area,AREA_002,136.0
ALM_00369,3,UAV_005,enter_no_fly_area,AREA_002,136.0
ALM_00370,3,UAV_003,enter_no_fly_area,AREA_002,136.5
ALM_00371,3,UAV_004,enter_no_fly_area,AREA_002,136.5
ALM_00372,3,UAV_005,enter_no_fly_area,AREA_002,136.5
ALM_00373,3,UAV_003,enter_no_fly_area,AREA_002,137.0
ALM_00374,3,UAV_004,enter_no_fly_area,AREA_002,137.0
ALM_00375,3,UAV_005,enter_no_fly_area,AREA_002,137.0
ALM_00376,3,UAV_003,enter_no_fly_area,AREA_002,137.5
ALM_00377,3,UAV_004,enter_no_fly_area,AREA_002,137.5
ALM_00378,3,UAV_005,enter_no_fly_area,AREA_002,137.5
ALM_00379,3,UAV_003,enter_no_fly_area,AREA_002,138.0
ALM_00380,3,UAV_004,enter_no_fly_area,AREA_002,138.0
ALM_00381,3,UAV_005,enter_no_fly_area,AREA_002,138.0
ALM_00382,3,UAV_003,enter_no_fly_area,AREA_002,138.5
ALM_00383,3,UAV_004,enter_no_fly_area,AREA_002,138.5
ALM_00384,3,UAV_005,enter_no_fly_area,AREA_002,138.5
ALM_00385,3,UAV_003,enter_no_fly_area,AREA_002,139.0
ALM_00386,3,UAV_004,enter_no_fly_area,AREA_002,139.0
ALM_00387,3,UAV_005,enter_no_fly_area,AREA_002,139.0
ALM_00388,3,UAV_003,enter_no_fly_area,AREA_002,139.5
ALM_00389,3,UAV_004,enter_no_fly_area,AREA_002,139.5
ALM_00390,3,UAV_005,enter_no_fly_area,AREA_002,139.5
ALM_00391,3,UAV_003,enter_no_fly_area,AREA_002,140.0
ALM_00392,3,UAV_004,enter_no_fly_area,AREA_002,140.0
ALM_00393,3,UAV_005,enter_no_fly_area,AREA_002,140.0
ALM_00394,3,UAV_003,enter_no_fly_area,AREA_002,140.5
ALM_00395,3,UAV_004,enter_no_fly_area,AREA_002,140.5
